OWASP-eols-assessment-service-gradle-wrapper.jar-CVE-2019-11065, OWASP, eols-assessment-service, gradle-wrapper.jar, CWE-254 7PK - Security Features,5.9,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'gradle-wrapper.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/gradle/wrapper/gradle-wrapper.jar' '' '' '7d7d78c91ccaaa93a19578ae254bc264' '80891b2384f7afed3e7cb712f56d5a7df95985d7' '' 'cpe:2.3:a:gradle:gradle:4.9:*:*:*:*:*:*:*' 'CVE-2019-11065' 'CWE-254 7PK - Security Features' 'Gradle versions from 1.4 to 5.3.1 use an insecure HTTP URL to download dependencies when the built-in JavaScript or CoffeeScript Gradle plugins are used. Dependency artifacts could have been maliciously compromised by a MITM attack against the ajax.googleapis.com web site.' 'NVD' 'MEDIUM' '4.3' '/AV:N/AC:M/Au:N/C:P/I:P/A:N' 'MEDIUM' '5.9' '/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N' '' '8'], false
OWASP-eols-assessment-service-gradle-wrapper.jar-CVE-2019-15052, OWASP, eols-assessment-service, gradle-wrapper.jar, CWE-255 Credentials Management,9.8,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'gradle-wrapper.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/gradle/wrapper/gradle-wrapper.jar' '' '' '7d7d78c91ccaaa93a19578ae254bc264' '80891b2384f7afed3e7cb712f56d5a7df95985d7' '' 'cpe:2.3:a:gradle:gradle:4.9:*:*:*:*:*:*:*' 'CVE-2019-15052' 'CWE-255 Credentials Management' 'The HTTP client in Gradle before 5.6 sends authentication credentials originally destined for the configured host. If that host returns a 30x redirect Gradle also sends those credentials to all subsequent hosts that the request redirects to. This is similar to CVE-2018-1000007.' 'NVD' 'MEDIUM' '5.0' '/AV:N/AC:L/Au:N/C:P/I:P/A:N' 'CRITICAL' '9.8' '/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H' '' '8'], false
OWASP-eols-assessment-service-gradle-wrapper.jar-CVE-2019-16370, OWASP, eols-assessment-service, gradle-wrapper.jar, CWE-20 Improper Input Validation,5.9,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'gradle-wrapper.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/gradle/wrapper/gradle-wrapper.jar' '' '' '7d7d78c91ccaaa93a19578ae254bc264' '80891b2384f7afed3e7cb712f56d5a7df95985d7' '' 'cpe:2.3:a:gradle:gradle:4.9:*:*:*:*:*:*:*' 'CVE-2019-16370' 'CWE-20 Improper Input Validation' 'The PGP signing plugin in Gradle before 6.0 relies on the SHA-1 algorithm which might allow an attacker to replace an artifact with a different one that has the same SHA-1 message digest a related issue to CVE-2005-4900.' 'NVD' 'MEDIUM' '4.3' '/AV:N/AC:M/Au:N/C:N/I:N/A:N' 'MEDIUM' '5.9' '/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:H/A:N' '' '8'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar-CVE-2018-1258, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar, CWE-863 Incorrect Authorization,8.8,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/spring-security-crypto-5.1.6.RELEASE.jar' 'spring-security-crypto' 'The Apache Software License Version 2.0: https://www.apache.org/licenses/LICENSE-2.0.txt' '8a072da91645d710f7b81e6ac07f266d' '85384e326c4e3e420784ef18a6ee0ce6aea4faf6' 'pkg:maven/org.springframework.security/spring-security-crypto@5.1.6.RELEASE' 'cpe:2.3:a:pivotal_software:spring_security:5.1.6:release:*:*:*:*:*:*' 'CVE-2018-1258' 'CWE-863 Incorrect Authorization' 'Spring Framework version 5.0.5 when used in combination with any versions of Spring Security contains an authorization bypass when using method security. An unauthorized malicious user can gain unauthorized access to methods that should be restricted.' 'NVD' 'MEDIUM' '6.5' '/AV:N/AC:L/Au:S/C:P/I:P/A:P' 'HIGH' '8.8' '/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H' 'HIGH' '32'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar-CVE-2020-5408, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar, CWE-330 Use of Insufficiently Random Values,6.5,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: spring-security-crypto-5.1.6.RELEASE.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/spring-security-crypto-5.1.6.RELEASE.jar' 'spring-security-crypto' 'The Apache Software License Version 2.0: https://www.apache.org/licenses/LICENSE-2.0.txt' '8a072da91645d710f7b81e6ac07f266d' '85384e326c4e3e420784ef18a6ee0ce6aea4faf6' 'pkg:maven/org.springframework.security/spring-security-crypto@5.1.6.RELEASE' 'cpe:2.3:a:pivotal_software:spring_security:5.1.6:release:*:*:*:*:*:*' 'CVE-2020-5408' 'CWE-330 Use of Insufficiently Random Values' 'Spring Security versions 5.3.x prior to 5.3.2 5.2.x prior to 5.2.4 5.1.x prior to 5.1.10 5.0.x prior to 5.0.16 and 4.2.x prior to 4.2.16 use a fixed null initialization vector with CBC Mode in the implementation of the queryable text encryptor. A malicious user with access to the data that has been encrypted using such an encryptor may be able to derive the unencrypted values using a dictionary attack.' 'NVD' 'MEDIUM' '4.0' '/AV:N/AC:L/Au:S/C:P/I:P/A:N' 'MEDIUM' '6.5' '/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N' 'HIGH' '32'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar-CVE-2013-7285, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar, CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),9.8,10," ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/xstream-1.4.10.jar' 'XStream is a serialization library from Java objects to XML and back.' 'http://x-stream.github.io/license.html' 'd00eec778910f95b26201395ac64cca0' 'dfecae23647abc9d9fd0416629a4213a3882b101' 'pkg:maven/com.thoughtworks.xstream/xstream@1.4.10' 'cpe:2.3:a:xstream_project:xstream:1.4.10:*:*:*:*:*:*:*' 'CVE-2013-7285' ""CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection')"" 'Xstream API versions up to 1.4.6 and version 1.4.10 if the security framework has not been initialized may allow a remote attacker to run arbitrary shell commands by manipulating the processed input stream when unmarshaling XML or any supported format. e.g. JSON.' 'NVD' 'HIGH' '7.5' '/AV:N/AC:L/Au:N/C:P/I:P/A:P' 'CRITICAL' '9.8' '/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H' 'HIGH' '58']", false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar-CVE-2019-10173, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar, CWE-502 Deserialization of Untrusted Data,9.8,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: xstream-1.4.10.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/xstream-1.4.10.jar' 'XStream is a serialization library from Java objects to XML and back.' 'http://x-stream.github.io/license.html' 'd00eec778910f95b26201395ac64cca0' 'dfecae23647abc9d9fd0416629a4213a3882b101' 'pkg:maven/com.thoughtworks.xstream/xstream@1.4.10' 'cpe:2.3:a:xstream_project:xstream:1.4.10:*:*:*:*:*:*:*' 'CVE-2019-10173' 'CWE-502 Deserialization of Untrusted Data' 'It was found that xstream API version 1.4.10 before 1.4.11 introduced a regression for a previous deserialization flaw. If the security framework has not been initialized it may allow a remote attacker to run arbitrary shell commands when unmarshalling XML or any supported format. e.g. JSON. (regression of CVE-2013-7285)' 'NVD' 'HIGH' '7.5' '/AV:N/AC:L/Au:N/C:P/I:P/A:P' 'CRITICAL' '9.8' '/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H' 'HIGH' '58'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: log4j-api-2.11.2.jar-CVE-2020-9488, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: log4j-api-2.11.2.jar, CWE-295 Improper Certificate Validation,3.7,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: log4j-api-2.11.2.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/log4j-api-2.11.2.jar' 'The Apache Log4j API' 'https://www.apache.org/licenses/LICENSE-2.0.txt' '3f7ee51e3dd0830de799dae0b90243dd' 'f5e9a2ffca496057d6891a3de65128efc636e26e' 'pkg:maven/org.apache.logging.log4j/log4j-api@2.11.2' 'cpe:2.3:a:apache:log4j:2.11.2:*:*:*:*:*:*:*' 'CVE-2020-9488' 'CWE-295 Improper Certificate Validation' 'Improper validation of certificate with host mismatch in Apache Log4j SMTP appender. This could allow an SMTPS connection to be intercepted by a man-in-the-middle attack which could leak any log messages sent through that appender.' 'NVD' 'MEDIUM' '4.3' '/AV:N/AC:M/Au:N/C:P/I:P/A:N' 'LOW' '3.7' '/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N' 'HIGH' '45'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar-CVE-2019-12418, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar, CWE-522 Insufficiently Protected Credentials,7,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/tomcat-embed-core-9.0.26.jar' 'Core Tomcat implementation' 'Apache License Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt' '50a7095cb7e9d57f63e3bfa334a0cf68' '6312ba542bc58fa9ee789a43516ce4d862548a6b' 'pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@9.0.26' 'cpe:2.3:a:apache:tomcat:9.0.26:*:*:*:*:*:*:* cpe:2.3:a:apache_software_foundation:tomcat:9.0.26:*:*:*:*:*:*:* cpe:2.3:a:apache_tomcat:apache_tomcat:9.0.26:*:*:*:*:*:*:*' 'CVE-2019-12418' 'CWE-522 Insufficiently Protected Credentials' 'When Apache Tomcat 9.0.0.M1 to 9.0.28 8.5.0 to 8.5.47 7.0.0 and 7.0.97 is configured with the JMX Remote Lifecycle Listener a local attacker without access to the Tomcat process or configuration files is able to manipulate the RMI registry to perform a man-in-the-middle attack to capture user names and passwords used to access the JMX interface. The attacker can then use these credentials to access the JMX interface and gain complete control over the Tomcat instance.' 'NVD' 'MEDIUM' '4.4' '/AV:L/AC:M/Au:N/C:P/I:P/A:P' 'HIGH' '7.0' '/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H' 'HIGH' '42'], false
OWASP-eols-assessment-service-eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar-CVE-2019-17563, OWASP, eols-assessment-service, eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar, CWE-384 Session Fixation,7.5,10, ['' 'Wed 24 Jun 2020 16:31:27 -0400' 'eols-assessment-service-SNAPSHOT.jar: tomcat-embed-core-9.0.26.jar' '/Users/werzenm/Documents/Projects/eols-assessment-service/build/libs/eols-assessment-service-SNAPSHOT.jar/BOOT-INF/lib/tomcat-embed-core-9.0.26.jar' 'Core Tomcat implementation' 'Apache License Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt' '50a7095cb7e9d57f63e3bfa334a0cf68' '6312ba542bc58fa9ee789a43516ce4d862548a6b' 'pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@9.0.26' 'cpe:2.3:a:apache:tomcat:9.0.26:*:*:*:*:*:*:* cpe:2.3:a:apache_software_foundation:tomcat:9.0.26:*:*:*:*:*:*:* cpe:2.3:a:apache_tomcat:apache_tomcat:9.0.26:*:*:*:*:*:*:*' 'CVE-2019-17563' 'CWE-384 Session Fixation' 'When using FORM authentication with Apache Tomcat 9.0.0.M1 to 9.0.29 8.5.0 to 8.5.49 and 7.0.0 to 7.0.98 there was a narrow window where an attacker could perform a session fixation attack. The window was considered too narrow for an exploit to be practical but erring on the side of caution this issue has been treated as a security vulnerability.' 'NVD' 'MEDIUM' '5.1' '/AV:N/AC:H/Au:N/C:P/I:P/A:P' 'HIGH' '7.5' '/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H' 'HIGH' '42'], false
